Ref,Val,Package,PosX,PosY,Rot,Side
"C101","0.1uF","C_0603_1608Metric",28.905200,74.637900,-90.000000,top
"C102","0.1uF","C_0603_1608Metric",41.224200,62.382400,0.000000,top
"C103","0.1uF","C_0603_1608Metric",37.922200,65.557400,0.000000,top
"C104","0.1uF","C_0603_1608Metric",37.922200,67.335400,0.000000,top
"J107","Conn_02x10_Top_Bottom","SAMTEC_S2M-110-02-X-D",15.379700,70.706900,90.000000,top
"Q101","IRF7458","SOIC-8_3.9x4.9mm_P1.27mm",31.445200,67.970400,-90.000000,top
"Q102","IRF7458","SOIC-8_3.9x4.9mm_P1.27mm",31.445200,58.699400,90.000000,top
"Q303","BC847BM3T5G","SOT-723",7.378700,99.428300,90.000000,top
"R101","0.01","R_2512_6332Metric",34.048700,75.399900,180.000000,top
"R102","1K","R_0603_1608Metric",41.224200,60.604400,0.000000,top
"R103","330","R_0603_1608Metric",41.224200,65.557400,180.000000,top
"R104","330","R_0603_1608Metric",39.509700,69.875400,-90.000000,top
"R106","0","R_0603_1608Metric",8.457700,63.715900,0.000000,top
"R107","0","R_0603_1608Metric",8.457700,61.810900,0.000000,top
"R108","0","R_0603_1608Metric",2.806700,84.416900,-90.000000,top
"R305","4.7k","R_0402_1005Metric",7.480300,97.904300,0.000000,top
"R306","1.5k","R_0402_1005Metric",9.461500,98.132900,90.000000,top
"U101","R5460N233AF","SOT95P280X130-6N",37.922200,62.001400,90.000000,top
